"fmun_cod";"fmun";"ano";"regiao";"hom_doloso";"lesao_corp_morte";"latrocinio";"cvli";"hom_por_interv_policial";"letalidade_violenta";"tentat_hom";"lesao_corp_dolosa";"estupro";"hom_culposo";"lesao_corp_culposa";"roubo_transeunte";"roubo_celular";"roubo_em_coletivo";"roubo_rua";"roubo_carga";"roubo_comercio";"roubo_residencia";"roubo_banco";"roubo_cx_eletronico";"roubo_conducao_saque";"roubo_apos_saque";"roubo_bicicleta";"outros_roubos";"total_roubos";"furto_veiculos";"furto_transeunte";"furto_coletivo";"furto_celular";"furto_bicicleta";"outros_furtos";"total_furtos";"sequestro";"extorsao";"sequestro_relampago";"estelionato";"apreensao_drogas";"posse_drogas";"trafico_drogas";"apreensao_drogas_sem_autor";"recuperacao_veiculos";"apf";"aaapai";"cmp";"cmba";"ameaca";"pessoas_desaparecidas";"encontro_cadaver";"encontro_ossada";"pol_militares_mortos_serv";"pol_civis_mortos_serv";"registro_ocorrencias";"fase"
3301603;"Duas Barras";2019;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301603;"Duas Barras";2020;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
3301702;"Duque de Caxias";2014;"Baixada Fluminense";"52,14";"0,23";"1,25";"53,62";"7,06";"60,68";"37";"513,66";"34,49";"12,18";"241,58";"803,16";"50,2";"49,18";"902,55";"64,44";"52,82";"7,63";"0";"0,11";"1,25";"8,54";"0";"109,63";"1554,87";"422,06";"175,66";"35,75";"51,12";"0";"424,98";"814,55";"0";"8,99";"1,25";"198,88";"80,49";"7,63";"67,17";"6,49";"861,45";"207,54";"82,99";"67,85";"0,68";"453,32";"49,98";"2,28";"0";"0";"0";"4931,57";3
3301702;"Duque de Caxias";2015;"Baixada Fluminense";"35,46";"0";"0,91";"36,36";"5,21";"41,58";"36,7";"429,35";"28,89";"8,84";"205,61";"492,68";"58,91";"74,54";"626,13";"87,57";"40,56";"4,42";"0";"0,11";"0,11";"5,55";"0,45";"77,26";"1142,82";"343,51";"342,69";"37,16";"60,49";"2,04";"352,77";"904,92";"0,11";"9,18";"0,11";"166,53";"74,99";"11,22";"59,36";"5,78";"696,95";"148,97";"38,63";"88,93";"2,04";"376,22";"36,48";"2,04";"0";"4,14";"0";"4280,36";3
3301702;"Duque de Caxias";2016;"Baixada Fluminense";"40,93";"0,23";"1,8";"42,96";"8,23";"51,19";"49,05";"366,21";"30,22";"7,89";"169,35";"763,99";"131,02";"235,76";"1130,77";"122,78";"35,4";"6,88";"0";"0";"0,23";"3,83";"0,79";"111,28";"1779,08";"314,63";"167,66";"26,05";"45,66";"3,16";"310,74";"657,45";"0,11";"8,23";"0,23";"172,39";"76,78";"8,01";"65,28";"4,51";"799,98";"196,07";"49,16";"79,94";"2,03";"314,01";"34,84";"1,92";"0,11";"0";"0";"4594,45";3
3301702;"Duque de Caxias";2017;"Baixada Fluminense";"52,53";"0";"1,23";"53,76";"13,58";"67,34";"45,23";"345,57";"35,35";"10,77";"124,36";"665,1";"200";"209,09";"1074,19";"130,98";"34,57";"4,26";"0,11";"0";"0,56";"4,26";"0,56";"153,54";"1899,33";"341,41";"85,07";"14,37";"45,45";"3,14";"260,94";"525,03";"0";"6,06";"0,9";"123,68";"64,87";"5,27";"57,46";"3,48";"1093,77";"177,22";"37,82";"70,6";"5,61";"259,26";"27,27";"1,68";"0,22";"4,29";"0";"4385,76";3
3301702;"Duque de Caxias";2018;"Baixada Fluminense";"37,73";"0,33";"1,53";"39,59";"16,08";"55,67";"36,42";"370,85";"38,82";"10,39";"123,58";"780,75";"273,3";"197,07";"1251,12";"100,5";"35,32";"5,47";"0,44";"0,22";"0,44";"5,47";"0,87";"149,83";"2001,57";"344,85";"96,35";"18,48";"52,39";"4,05";"260,5";"549,22";"0";"7";"0,44";"153,55";"53,04";"3,39";"46,92";"3,17";"902,31";"153,33";"30,07";"73,6";"4,48";"320,65";"29,64";"0,87";"0,11";"2,22";"0";"4482,69";3
3301702;"Duque de Caxias";2019;"Baixada Fluminense";"30,99";"0,43";"0,76";"32,19";"12,07";"44,26";"28,71";"367,34";"36,1";"11,96";"138";"699,87";"195,3";"154,96";"1050,14";"105,81";"27,62";"4,89";"0,11";"0,22";"0,76";"5,87";"0,76";"143,98";"1729,78";"328,26";"94,93";"18,7";"45,02";"3,7";"364,83";"642,13";"0";"7,5";"0,54";"197,48";"51,22";"12,07";"37,95";"2,07";"663,35";"150,72";"20,99";"82,54";"6,52";"352,11";"30,12";"0,87";"0,11";"2,26";"0";"4427,49";3
3301702;"Duque de Caxias";2020;"Baixada Fluminense";"22,93";"0,65";"1,3";"24,87";"8,98";"33,85";"26,39";"278,71";"35,47";"12";"83,39";"430,55";"112,26";"90,2";"633,01";"85,66";"19,03";"3,57";"0,11";"0,22";"0";"5,08";"0,32";"111,29";"1158,52";"292,31";"51,7";"10,06";"26,39";"2,38";"203,33";"399,3";"0";"4,87";"0,22";"162,23";"35,69";"14,38";"20,77";"0,54";"398,74";"134,97";"15,79";"53,1";"2,81";"217,93";"16,33";"0,54";"0,22";"2,26";"0";"3042,21";3
3301801;"Engenheiro Paulo de Frontin";2014;"Interior";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";3
